county_id,state,mean_yield,ph,soc,clay,sand,silt,flag_low_ph,flag_high_ph,flag_low_soc,flag_high_sand,flag_high_clay,n_constraints,soil_health_score,soil_tier
COL_001,Colorado,4661.1484375,6.73421875,1.26953125,9.56875,39.9640625,50.4671875,0,0,1,0,0,1,76.04698887373358,Good
COL_002,Colorado,4835.6921875,7.423125,1.58578125,13.7,34.5078125,51.792187500000004,0,1,0,0,0,1,64.20515523047848,Moderate
COL_003,Colorado,5625.640625,6.94671875,1.0471875,19.4015625,46.428125,34.1703125,0,0,1,0,0,1,63.92343348501503,Moderate
COL_004,Colorado,5563.4546875,6.87,1.77578125,21.95,41.371875,36.678125,0,0,0,0,0,0,79.11362952020822,Good
COL_005,Colorado,5738.8859375,7.704375,0.85515625,17.3828125,41.6109375,41.00625,0,1,1,0,0,2,42.52690363767198,Poor
COL_006,Colorado,5797.7984375,6.448125,1.25765625,22.81875,47.8640625,29.3171875,0,0,1,0,0,1,76.82762727637302,Good
COL_007,Colorado,5406.2734375,6.7853125,1.2454687500000001,11.1296875,54.4484375,34.421875,0,0,1,0,0,1,69.54708555301062,Moderate
COL_008,Colorado,4879.63125,6.9490625,1.769375,21.571875,47.9,30.528125,0,0,0,0,0,0,75.00349988226003,Good
COL_009,Colorado,5198.7265625,6.9575000000000005,1.23609375,23.69375,49.7953125,26.5109375,0,0,1,0,0,1,65.02637881439281,Moderate
COL_010,Colorado,4234.553125,7.613125,2.02171875,21.315625,46.209375,32.475,0,1,0,0,0,1,61.92572618533677,Moderate
COL_011,Colorado,5865.6671875,6.49203125,1.64453125,20.8671875,52.909375,26.2234375,0,0,0,0,0,0,82.9267677504377,Good
COL_012,Colorado,6459.83125,7.03875,1.81609375,20.9078125,62.496875,16.5953125,0,0,0,1,0,1,68.03302578542275,Moderate
COL_013,Colorado,4914.396875,6.69453125,1.2971875,16.08125,52.3671875,31.5515625,0,0,1,0,0,1,73.0852710514135,Good
COL_014,Colorado,6215.040625,6.696875,1.0615625,15.796875,49.6296875,34.5734375,0,0,1,0,0,1,70.11598814152958,Good
COL_015,Colorado,5280.1109375,7.36984375,1.6478125,19.9515625,54.421875,25.626562500000002,0,1,0,0,0,1,59.893182687828755,Moderate
COL_016,Colorado,4934.878125,6.905625,1.70859375,17.975,35.0796875,46.9453125,0,0,0,0,0,0,79.24343088128154,Good
COL_017,Colorado,5670.9546875,6.61671875,2.05296875,13.6875,49.546875,36.765625,0,0,0,0,0,0,87.94728376746919,Good
COL_018,Colorado,7083.028125,6.72609375,0.935,18.1796875,45.2984375,36.521875,0,0,1,0,0,1,68.38207715485323,Moderate
COL_019,Colorado,6147.440625,6.6003125,0.74078125,13.365625,48.7515625,37.8828125,0,0,1,0,0,1,67.89698517718384,Moderate
COL_020,Colorado,4719.5171875,6.8078125,2.08734375,17.059375,47.3765625,35.5640625,0,0,0,0,0,0,83.28521826900408,Good
COL_021,Colorado,5312.8796875,7.2909375,0.8785937500000001,22.8171875,44.3875,32.7953125,0,1,1,0,0,2,52.230264828399285,Moderate
COL_022,Colorado,5956.659375,6.65921875,1.86078125,16.665625,57.5109375,25.823437499999997,0,0,0,1,0,1,81.32640877712782,Good
COL_023,Colorado,6486.6453125,6.61390625,1.20234375,9.3453125,47.315625,43.3390625,0,0,1,0,0,1,75.93477645415408,Good
COL_024,Colorado,6246.51875,7.755,1.58546875,17.23125,55.3765625,27.3921875,0,1,0,1,0,2,48.724403562011716,Poor
COL_025,Colorado,5408.128125,7.29484375,0.9065625,26.5859375,43.371875,30.0421875,0,1,1,0,0,2,52.25903985880112,Moderate
COL_026,Colorado,5200.9359375,7.33703125,1.73171875,17.1234375,53.9546875,28.921875,0,1,0,0,0,1,62.669083310480744,Moderate
COL_027,Colorado,5546.23125,7.61859375,1.46390625,25.41875,46.8671875,27.7140625,0,1,1,0,0,2,52.07623421998919,Moderate
COL_028,Colorado,5244.1046875,7.0581249999999995,1.7025,22.5953125,50.7734375,26.631249999999998,0,0,0,0,0,0,69.91458683861819,Moderate
COL_029,Colorado,4979.2171875,6.92609375,1.460625,17.86875,66.0828125,16.0484375,0,0,1,1,0,2,63.963070597852735,Moderate
COL_030,Colorado,5721.4875,7.2265625,1.935625,11.1203125,44.0828125,44.796875,0,1,0,0,0,1,72.80533241548261,Good
ILL_001,Illinois,8454.5421875,6.2578125,2.5146875,32.559375,28.9875,38.453125,0,0,0,0,0,0,87.17040371499161,Good
ILL_002,Illinois,7437.7359375,6.57140625,2.488125,32.378125,39.5546875,28.0671875,0,0,0,0,0,0,89.23847010025717,Good
ILL_003,Illinois,6929.4453125,6.69484375,2.47640625,24.1046875,26.5765625,49.31875,0,0,0,0,0,0,90.49962977101359,Good
ILL_004,Illinois,7676.771875,6.3603125,3.5259375,21.5109375,33.0171875,45.471875,0,0,0,0,0,0,91.0472348824429,Good
ILL_005,Illinois,7473.7796875,6.3340625,2.99328125,27.2984375,40.309375,32.3921875,0,0,0,0,0,0,87.57853181762209,Good
ILL_006,Illinois,8033.1328125,6.60375,3.45125,23.30625,23.8765625,52.8171875,0,0,0,0,0,0,93.48678916260934,Good
ILL_007,Illinois,7956.44375,6.6925,3.63734375,23.075,26.05625,50.86875,0,0,0,0,0,0,90.8195421291397,Good
ILL_008,Illinois,8871.346875,6.095,2.0571875,22.63125,27.8640625,49.5046875,0,0,0,0,0,0,84.96942746063597,Good
ILL_009,Illinois,7472.825,6.30875,3.3275,37.4328125,25.3375,37.2296875,0,0,0,0,0,0,88.02422072095408,Good
ILL_010,Illinois,8053.390625,6.21578125,3.03640625,30.9796875,32.134375,36.8859375,0,0,0,0,0,0,85.75249800389264,Good
ILL_011,Illinois,7981.1296875,6.259375,2.80828125,31.271875,23.85625,44.871875,0,0,0,0,0,0,88.41283594267463,Good
ILL_012,Illinois,8985.8484375,6.30890625,2.055625,29.4171875,31.0796875,39.503125,0,0,0,0,0,0,88.7487432588591,Good
ILL_013,Illinois,7460.3421875,6.281875,2.873125,28.7578125,28.93125,42.3109375,0,0,0,0,0,0,88.60674360949368,Good
ILL_014,Illinois,8026.60625,6.1090625,3.32921875,19.0734375,25.1875,55.7390625,0,0,0,0,0,0,86.32646753322064,Good
ILL_015,Illinois,8083.3703125,6.15890625,3.690625,19.45,16.93125,63.61875,0,0,0,0,0,0,88.77010392570344,Good
ILL_016,Illinois,7698.596875,6.16046875,2.1025,29.8796875,31.365625,38.7546875,0,0,0,0,0,0,84.69165292047629,Good
ILL_017,Illinois,7085.69375,6.2903125,2.851875,24.8171875,29.8015625,45.38125,0,0,0,0,0,0,89.37261664318117,Good
ILL_018,Illinois,8544.7328125,6.409375,3.01609375,27.98125,31.18125,40.8375,0,0,0,0,0,0,91.64928148188496,Good
ILL_019,Illinois,7739.165625,6.2703125,3.46140625,23.10625,37.0875,39.80625,0,0,0,0,0,0,87.46851145247138,Good
ILL_020,Illinois,6293.384375,6.1410937500000005,2.52,17.496875,25.6703125,56.8328125,0,0,0,0,0,0,87.28126553470689,Good
ILL_021,Illinois,8641.984375,6.06609375,2.7265625,26.1140625,22.2296875,51.65625,0,0,0,0,0,0,84.59176184176187,Good
ILL_022,Illinois,7595.446875,5.79546875,2.6271875000000002,22.8546875,23.0015625,54.14375,1,0,0,0,0,1,77.89968778987566,Good
ILL_023,Illinois,8201.4640625,6.6478125,3.20921875,26.3,24.765625,48.934375,0,0,0,0,0,0,91.6762077951709,Good
ILL_024,Illinois,7330.009375,6.1753125,3.39875,26.8421875,38.3453125,34.8125,0,0,0,0,0,0,84.01345592867983,Good
ILL_025,Illinois,7727.7234375,6.2221875,2.94734375,28.4796875,25.1265625,46.39375,0,0,0,0,0,0,87.79068519276412,Good
ILL_026,Illinois,6802.509375,6.338125,3.04375,21.428125,26.6765625,51.895312499999996,0,0,0,0,0,0,91.76279390178543,Good
ILL_027,Illinois,8719.8171875,5.983125,2.0178125,27.025,33.196875,39.778125,0,0,0,0,0,0,80.17876188362955,Good
ILL_028,Illinois,8571.50625,6.51203125,3.0821875,18.9484375,35.446875,45.6046875,0,0,0,0,0,0,94.19085805299312,Good
ILL_029,Illinois,8081.325,6.154375,2.4015625,25.821875,33.9046875,40.2734375,0,0,0,0,0,0,84.73644257548128,Good
ILL_030,Illinois,8453.6421875,5.87796875,2.571875,20.990625,21.4921875,57.5171875,0,0,0,0,0,0,80.57523023194915,Good
ILL_031,Illinois,6794.2984375,6.32390625,2.09921875,30.4953125,25.58125,43.9234375,0,0,0,0,0,0,89.98280733182311,Good
ILL_032,Illinois,8105.3796875,6.21359375,2.5775,35.41875,29.840625,34.740625,0,0,0,0,0,0,85.17616644734345,Good
ILL_033,Illinois,8220.7546875,6.27796875,2.71484375,29.240625,28.259375,42.5,0,0,0,0,0,0,88.53946623999316,Good
ILL_034,Illinois,7642.704687500001,6.3890625,3.23921875,13.040625,38.284375,48.675,0,0,0,0,0,0,91.52136401028696,Good
ILL_035,Illinois,7709.7,6.45,2.2134375,23.2265625,37.5296875,39.24375,0,0,0,0,0,0,92.06222675613562,Good
ILL_036,Illinois,8466.8890625,6.3834375,3.9496875,25.7671875,28.9984375,45.234375,0,0,0,0,0,0,91.81849504121406,Good
ILL_037,Illinois,7935.271875,6.45828125,2.16453125,33.3453125,22.2953125,44.359375,0,0,0,0,0,0,93.4324441425431,Good
ILL_038,Illinois,8119.6359375,6.37828125,2.895625,27.8921875,36.1640625,35.94375,0,0,0,0,0,0,89.70766125470384,Good
ILL_039,Illinois,7595.55,6.45078125,3.08953125,24.675,34.79375,40.53125,0,0,0,0,0,0,92.51963553501619,Good
ILL_040,Illinois,6527.209375,5.945,3.545,22.134375,23.0296875,54.8359375,0,0,0,0,0,0,81.93736448783187,Good
ILL_041,Illinois,6324.7671875,6.135625,3.86328125,30.440625,26.4234375,43.1359375,0,0,0,0,0,0,84.89440372219131,Good
ILL_042,Illinois,8076.8171875,5.8846875,3.24046875,37.059375,34.9203125,28.0203125,0,0,0,0,0,0,75.00486142582989,Good
ILL_043,Illinois,6705.6734375,6.32484375,2.70546875,22.6359375,26.54375,50.8203125,0,0,0,0,0,0,91.25664628483916,Good
ILL_044,Illinois,8308.30625,6.65328125,3.19328125,18.915625,23.0671875,58.0171875,0,0,0,0,0,0,92.94385058372953,Good
ILL_045,Illinois,6769.375,6.328125,2.05859375,23.340625,29.55625,47.103125,0,0,0,0,0,0,90.6581649451024,Good
ILL_046,Illinois,8140.103125,6.6434375,2.8103125,24.05,28.5984375,47.3515625,0,0,0,0,0,0,91.48100802008567,Good
ILL_047,Illinois,7214.66875,5.95109375,3.5996875,20.35,24.5234375,55.1265625,0,0,0,0,0,0,82.11383551056127,Good
ILL_048,Illinois,7989.6609375,6.369375,2.31015625,35.70625,22.1125,42.18125,0,0,0,0,0,0,90.5679826297622,Good
ILL_049,Illinois,7396.6109375,6.3075,2.6696874999999998,30.240625,39.0140625,30.745312499999997,0,0,0,0,0,0,86.6538326032608,Good
ILL_050,Illinois,8863.809375,6.7114062500000005,3.5790625,23.6078125,30.8359375,45.55625,0,0,0,0,0,0,89.3132854591361,Good
ILL_051,Illinois,7833.678125,6.1409375,2.14359375,26.2625,24.2890625,49.4484375,0,0,0,0,0,0,86.20761256076669,Good
ILL_052,Illinois,7952.2921875,6.38125,3.3371875,20.6578125,36.4125,42.9296875,0,0,0,0,0,0,90.9185977698211,Good
ILL_053,Illinois,7745.0125,6.428125,2.2859375,26.88125,20.9578125,52.1609375,0,0,0,0,0,0,94.15983263937414,Good
ILL_054,Illinois,7873.090625,6.445,2.18234375,24.58125,34.0984375,41.3203125,0,0,0,0,0,0,92.54618446944451,Good
ILL_055,Illinois,7305.0984375,6.3240625,2.6534375,29.1875,32.7671875,38.0453125,0,0,0,0,0,0,88.82671928818515,Good
ILL_056,Illinois,9172.359375,6.4303125,2.18390625,16.215625,29.9671875,53.8171875,0,0,0,0,0,0,94.22025169055225,Good
ILL_057,Illinois,7504.1,6.520625,2.58421875,27.24375,29.6,43.15625,0,0,0,0,0,0,93.95517081489666,Good
ILL_058,Illinois,8063.05,6.0834375,2.75609375,25.971875,33.403125,40.625,0,0,0,0,0,0,82.95951977236366,Good
ILL_059,Illinois,7086.1984375,6.65078125,3.0256250000000002,25.8859375,21.2921875,52.821875,0,0,0,0,0,0,92.21554143386221,Good
ILL_060,Illinois,6582.1875,6.4284375,2.69984375,28.2640625,28.325,43.4109375,0,0,0,0,0,0,92.674323188817,Good
ILL_061,Illinois,7852.21875,6.6778125,3.34859375,25.0984375,35.54375,39.3578125,0,0,0,0,0,0,88.88726711262179,Good
ILL_062,Illinois,7730.7015625,6.22234375,2.55421875,26.7046875,28.703125,44.5921875,0,0,0,0,0,0,87.47324563984881,Good
ILL_063,Illinois,7127.878125,5.6621875,3.21078125,19.765625,26.9109375,53.3234375,1,0,0,0,0,1,74.17928365611188,Good
ILL_064,Illinois,7781.4703125,5.64875,2.469375,27.7328125,20.6984375,51.56875,1,0,0,0,0,1,73.54491757059651,Good
ILL_065,Illinois,7800.4484375,6.32796875,2.24953125,31.5109375,27.146875,41.3421875,0,0,0,0,0,0,89.59483630856457,Good
ILL_066,Illinois,7700.096875,6.73296875,2.0346875,18.7703125,35.3828125,45.846875,0,0,0,0,0,0,88.4196171100792,Good
ILL_067,Illinois,9051.5046875,6.14390625,3.63859375,29.1203125,25.4703125,45.409375,0,0,0,0,0,0,85.5476986608449,Good
ILL_068,Illinois,7471.3859375,6.69359375,2.76265625,22.6953125,30.2875,47.0171875,0,0,0,0,0,0,90.0392935083358,Good
ILL_069,Illinois,7294.9875,5.959375,2.2465625,31.4078125,24.7625,43.8296875,0,0,0,0,0,0,80.34561343603127,Good
ILL_070,Illinois,8580.2234375,6.4803125,3.24375,22.6390625,20.975,56.3859375,0,0,0,0,0,0,96.2438962791432,Good
